Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.6928  1.2891    -5.2847 -6.3623
      1  -6.9468  1.0447    -8.0678 -5.9621
      2  -6.5132  1.0037    -7.3289 -5.2694
      3  -6.3232  0.9893    -7.0317 -4.9127
      4  -5.8385  1.3535    -6.9190 -2.6132
      5  -5.0278  1.7863    -7.4176 -1.1617
      6  -4.0227  2.1589    -8.1346 -0.5436
      7  -4.4027  2.7034    -8.9300 -0.4375
      8  -4.3484  2.6935    -8.9085 -0.4231
      9  -4.2730  2.6817    -8.8800 -0.4009
     10  -4.1678  2.6632    -8.8361 -0.3688
     11  -4.0169  2.6308    -8.7623 -0.3251
     12  -3.8077  2.5736    -8.6306 -0.2727
     13  -3.5452  2.4796    -8.3865 -0.2286
     14  -3.2669  2.3482    -7.9258 -0.1946
     15  -3.0206  2.2016    -7.0730 -0.1718
     16  -2.0636  2.1645    -7.0590 -0.1014
     17  -1.7549  1.8967    -5.7635 -0.0921
     18  -3.0832  1.9896    -7.1479 -0.3307
     19  -2.9088  1.8092    -6.0081 -0.3188

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0990  0.0604     0.0001  0.1896
      1   0.0965  0.0614     0.0001  0.1893
      2   0.0935  0.0622     0.0001  0.1888
      3   0.0912  0.0625     0.0001  0.1884
      4   0.0474  0.0482     0.0000  0.1484
      5   0.0119  0.0126     0.0000  0.0338
      6   0.0048  0.0043     0.0000  0.0092
      7   0.0002  0.0008     0.0000  0.0001
      8   0.0003  0.0012     0.0000  0.0001
      9   0.0005  0.0016     0.0000  0.0006
     10   0.0008  0.0020     0.0000  0.0035
     11   0.0013  0.0026     0.0000  0.0050
     12   0.0021  0.0031     0.0000  0.0058
     13   0.0031  0.0034     0.0000  0.0062
     14   0.0042  0.0034     0.0000  0.0064
     15   0.0052  0.0030     0.0000  0.0065
     16   0.0052  0.0030     0.0000  0.0065
     17   0.0059  0.0025     0.0000  0.0066
     18   0.0051  0.0031     0.0000  0.0065
     19   0.0059  0.0026     0.0000  0.0066

