Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.2656  1.4826    -4.4873 -0.2431
      1  -3.2670  0.9492    -4.6328 -2.1703
      2  -3.9291  0.6988    -4.7363 -3.4310
      3  -3.6001  0.6315    -4.1754 -3.2377
      4  -3.7539  0.5940    -4.2635 -3.5132
      5  -3.7238  0.4333    -4.1759 -3.5352
      6  -3.7241  0.3268    -4.1646 -3.5912
      7  -3.7145  0.2484    -4.1456 -3.5982
      8  -3.7099  0.1984    -4.1353 -3.6024
      9  -3.7075  0.1677    -4.1293 -3.6050
     10  -3.7060  0.1492    -4.1244 -3.6068
     11  -3.7048  0.1380    -4.1200 -3.6082
     12  -3.7075  0.1276    -4.1203 -3.6311
     13  -3.7068  0.1236    -4.1177 -3.6316
     14  -3.5191  0.3058    -4.0586 -3.2424
     15  -3.6301  0.3127    -4.1560 -3.4279
     16  -3.6991  0.2869    -4.1851 -3.4691
     17  -3.6577  0.2505    -4.1287 -3.4581
     18  -3.6882  0.2146    -4.1425 -3.4952
     19  -3.6646  0.1857    -4.0784 -3.4862

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1007  0.0594     0.0038  0.1897
      1   0.1008  0.0593     0.0041  0.1897
      2   0.1004  0.0596     0.0033  0.1897
      3   0.1001  0.0595     0.0030  0.1896
      4   0.1007  0.0589     0.0034  0.1895
      5   0.1044  0.0569     0.0106  0.1899
      6   0.1077  0.0553     0.0165  0.1903
      7   0.1092  0.0543     0.0201  0.1904
      8   0.1102  0.0537     0.0221  0.1905
      9   0.1108  0.0533     0.0234  0.1906
     10   0.1113  0.0530     0.0244  0.1906
     11   0.1118  0.0527     0.0254  0.1907
     12   0.1128  0.0522     0.0273  0.1908
     13   0.1131  0.0520     0.0279  0.1908
     14   0.0295  0.0161     0.0060  0.0569
     15   0.0266  0.0134     0.0055  0.0482
     16   0.0272  0.0135     0.0066  0.0491
     17   0.0289  0.0141     0.0073  0.0523
     18   0.0305  0.0145     0.0080  0.0545
     19   0.0322  0.0149     0.0087  0.0570

