Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.9235  1.3249    -4.2793 -6.4527
      1  -7.3109  1.2114    -8.5013 -5.5274
      2  -7.0001  1.1907    -7.8840 -4.8555
      3  -6.7686  1.2641    -7.6002 -3.9631
      4  -5.8832  1.9425    -7.7459 -1.3353
      5  -4.4278  2.2984    -8.1712 -0.5624
      6  -4.4242  2.1925    -7.6452 -0.5992
      7  -3.1415  2.2397    -7.7870 -0.3048
      8  -2.8964  2.0526    -6.8965 -0.2870
      9  -2.1004  1.8651    -6.3731 -0.1862
     10  -1.8924  1.6171    -5.1160 -0.1771
     11  -1.3621  1.4310    -3.9468 -0.1196
     12  -1.0254  1.2637    -2.9152 -0.0894
     13  -0.9225  1.0333    -2.4872 -0.0874
     14  -0.6941  0.9102    -1.9538 -0.0673
     15  -0.5370  0.8087    -1.5759 -0.0547
     16  -0.4233  0.7151    -1.3080 -0.0468
     17  -0.3451  0.6117    -1.1411 -0.0422
     18  -0.2979  0.5055    -1.0315 -0.0401
     19  -0.2500  0.4353    -0.9414 -0.0372

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0974  0.0613     0.0001  0.1895
      1   0.0940  0.0626     0.0001  0.1892
      2   0.0944  0.0633     0.0001  0.1895
      3   0.0915  0.0649     0.0001  0.1895
      4   0.0269  0.0327     0.0000  0.0929
      5   0.0054  0.0052     0.0000  0.0121
      6   0.0066  0.0051     0.0000  0.0129
      7   0.0050  0.0035     0.0000  0.0067
      8   0.0059  0.0030     0.0000  0.0068
      9   0.0060  0.0029     0.0000  0.0068
     10   0.0066  0.0024     0.0001  0.0068
     11   0.0067  0.0023     0.0001  0.0068
     12   0.0068  0.0022     0.0001  0.0069
     13   0.0070  0.0019     0.0002  0.0069
     14   0.0071  0.0019     0.0003  0.0069
     15   0.0072  0.0019     0.0003  0.0070
     16   0.0073  0.0019     0.0003  0.0080
     17   0.0074  0.0020     0.0004  0.0090
     18   0.0075  0.0021     0.0004  0.0098
     19   0.0076  0.0022     0.0004  0.0104

