trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  989 550.00  0.00 800.00 520.00  1
  1 1223 680.00  0.00 800.00 520.00  1
  2 1313 730.00  0.00 800.00 520.00  0
  3 1277 710.00  0.00 800.00 520.00  0
  4 1223 680.00  0.00 800.00 520.00  0
  5 1133 630.00  0.00 800.00 520.00  0
  6   14  10.00  0.00 800.00 104.00  1
  7  917 510.00  0.00 800.00 520.00  0
  8   10  10.00  0.00 800.00 17.20  1
  9   10  10.00  0.00 800.00 12.90  1
 10  629 350.00  0.00 800.00 520.00  0
 11    2  10.00  0.00 800.00  1.00  1
 12    4  10.00  0.00 800.00  3.00  1
 13  646 360.00  0.00 800.00 260.00  0
 14    0  10.00  0.00 800.00  0.43  1
 15  536 300.00  0.00 800.00 104.00  1
 16  700 390.00  0.00 800.00 260.00  0
 17    0  10.00  0.00 800.00  0.43  1
 18  681 380.00  0.00 800.00 156.00  0
 19  662 370.00  0.00 800.00 104.00  0
