Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.6305  2.1623    -9.1037 -2.4235
      1  -7.4207  1.2266    -6.5466 -5.8819
      2  -6.4094  0.7992    -7.3947 -5.7753
      3  -6.8330  0.6926    -7.6325 -6.4562
      4  -7.0052  0.6180    -7.8383 -6.7568
      5  -6.8240  0.5474    -7.3282 -6.6541
      6  -6.8493  0.4132    -7.3166 -6.7010
      7  -6.8610  0.3223    -7.3077 -6.7296
      8  -6.8667  0.2616    -7.3002 -6.7555
      9  -6.6991  1.2819    -8.5135 -4.3498
     10  -6.6721  1.0182    -7.9219 -6.0432
     11  -6.6471  0.8045    -7.4889 -6.3224
     12  -6.6311  0.6369    -7.2914 -6.3492
     13  -6.7329  0.7005    -7.3944 -6.4371
     14  -6.7731  1.1697    -8.0290 -4.8889
     15  -6.8809  0.9029    -7.9485 -6.3973
     16  -6.8848  0.7132    -7.7005 -6.5279
     17  -6.8775  0.5673    -7.5603 -6.5847
     18  -6.9228  0.4692    -7.5653 -6.6329
     19  -7.0418  0.7566    -7.9889 -6.6358

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1011  0.0591     0.0057  0.1898
      1   0.1013  0.0590     0.0060  0.1898
      2   0.0997  0.0597     0.0042  0.1896
      3   0.0995  0.0599     0.0043  0.1896
      4   0.1012  0.0593     0.0058  0.1899
      5   0.1052  0.0577     0.0074  0.1902
      6   0.1083  0.0560     0.0131  0.1905
      7   0.1103  0.0548     0.0173  0.1908
      8   0.1123  0.0537     0.0212  0.1910
      9   0.0193  0.0154     0.0000  0.0455
     10   0.0223  0.0156     0.0001  0.0479
     11   0.0251  0.0157     0.0003  0.0508
     12   0.0274  0.0157     0.0018  0.0530
     13   0.0254  0.0146     0.0011  0.0484
     14   0.0158  0.0105     0.0000  0.0318
     15   0.0167  0.0101     0.0001  0.0322
     16   0.0180  0.0099     0.0007  0.0330
     17   0.0192  0.0098     0.0014  0.0338
     18   0.0204  0.0099     0.0022  0.0346
     19   0.0146  0.0076     0.0005  0.0255

