trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1253 700.00  0.00 800.00 21.50  0
  1  693 390.00  0.00 800.00 12.90  1
  2  661 370.00  0.00 800.00 52.00  1
  3  698 390.00  0.00 800.00 104.00  0
  4  769 430.00  0.00 800.00 52.00  0
  5  661 370.00  0.00 800.00 52.00  1
  6  769 440.00  0.00 800.00 104.00  0
  7  769 410.00  0.00 800.00 104.00  0
  8  769 410.00  0.00 800.00 26.00  1
  9  769 410.00  0.00 800.00 104.00  0
 10  769 450.00  0.00 800.00 104.00  0
 11  769 450.00  0.00 800.00 104.00  0
 12  769 430.00  0.00 800.00 26.00  1
 13  769 410.00  0.00 800.00 26.00  1
 14  769 450.00  0.00 800.00 104.00  0
 15  769 430.00  0.00 800.00 104.00  0
 16  769 420.00  0.00 800.00 26.00  1
 17  769 410.00  0.00 800.00 26.00  1
 18  769 410.00  0.00 800.00 26.00  1
 19  769 420.00  0.00 800.00 104.00  0
