Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.2529  1.4843    -4.4846 -0.2409
      1  -3.2712  0.9536    -4.6618 -2.1839
      2  -3.9331  0.7161    -4.8982 -3.4320
      3  -3.6037  0.6364    -4.1758 -3.2521
      4  -3.7565  0.6023    -4.2770 -3.5188
      5  -3.7253  0.4384    -4.1761 -3.5412
      6  -3.7245  0.3312    -4.1635 -3.5958
      7  -3.7134  0.2493    -4.1402 -3.6027
      8  -3.7088  0.1981    -4.1300 -3.6069
      9  -3.7105  0.1651    -4.1282 -3.6318
     10  -3.7126  0.1444    -4.1274 -3.6664
     11  -3.7110  0.1313    -4.1226 -3.6669
     12  -3.7126  0.1233    -4.1224 -3.6907
     13  -3.7139  0.1185    -4.1222 -3.6922
     14  -3.7142  0.1161    -4.1219 -3.6928
     15  -3.7143  0.1148    -4.1216 -3.6930
     16  -3.6281  0.2462    -4.1663 -3.4565
     17  -3.5398  0.2107    -3.9756 -3.4456
     18  -3.4879  0.1666    -3.9105 -3.4419
     19  -3.4592  0.1283    -3.8508 -3.4403

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1017  0.0591     0.0039  0.1899
      1   0.1017  0.0592     0.0039  0.1899
      2   0.1005  0.0598     0.0028  0.1898
      3   0.1019  0.0592     0.0029  0.1899
      4   0.1024  0.0587     0.0032  0.1898
      5   0.1060  0.0567     0.0107  0.1902
      6   0.1092  0.0549     0.0168  0.1905
      7   0.1110  0.0538     0.0212  0.1907
      8   0.1118  0.0532     0.0232  0.1907
      9   0.1131  0.0525     0.0255  0.1909
     10   0.1144  0.0518     0.0279  0.1910
     11   0.1148  0.0515     0.0287  0.1911
     12   0.1158  0.0510     0.0302  0.1912
     13   0.1166  0.0506     0.0315  0.1913
     14   0.1170  0.0504     0.0323  0.1913
     15   0.1172  0.0502     0.0328  0.1913
     16   0.0382  0.0203     0.0090  0.0737
     17   0.0433  0.0223     0.0104  0.0817
     18   0.0480  0.0231     0.0132  0.0872
     19   0.0518  0.0232     0.0156  0.0906

