trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  197 110.00  0.00 800.00 520.00  0
  1  655 370.00  0.00 800.00  8.60  1
  2  732 410.00  0.00 800.00 26.00  1
  3  679 380.00  0.00 800.00 52.00  0
  4  822 460.00  0.00 800.00 26.00  1
  5  679 400.00  0.00 800.00 104.00  0
  6  679 390.00  0.00 800.00 26.00  1
  7  679 370.00  0.00 800.00 104.00  0
  8  679 400.00  0.00 800.00 104.00  0
  9  679 380.00  0.00 800.00 26.00  1
 10  679 400.00  0.00 800.00 26.00  1
 11  679 400.00  0.00 800.00 104.00  0
 12  679 400.00  0.00 800.00 26.00  1
 13  679 400.00  0.00 800.00 26.00  1
 14  679 380.00  0.00 800.00 26.00  1
 15  679 360.00  0.00 800.00 26.00  1
 16  679 390.00  0.00 800.00 26.00  0
 17  840 470.00  0.00 800.00 26.00  0
 18  607 340.00  0.00 800.00 52.00  0
 19  858 480.00  0.00 800.00 26.00  0
