trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1374 770.00  0.00 800.00  6.44  1
  1  971 540.00  0.00 800.00 520.00  0
  2  844 470.00  0.00 800.00 260.00  0
  3  843 470.00  0.00 800.00 156.00  0
  4  735 410.00  0.00 800.00 156.00  0
  5  788 440.00  0.00 800.00 104.00  0
  6  859 480.00  0.00 800.00 52.00  0
  7  661 370.00  0.00 800.00 52.00  0
  8  731 410.00  0.00 800.00 21.50  0
  9  674 380.00  0.00 800.00 10.80  1
 10  622 350.00  0.00 800.00 17.20  1
 11  677 380.00  0.00 800.00 21.50  1
 12  804 450.00  0.00 800.00 26.00  0
 13  569 320.00  0.00 800.00 21.50  1
 14  858 480.00  0.00 800.00 26.00  0
 15  605 340.00  0.00 800.00 21.50  1
 16  804 450.00  0.00 800.00 26.00  0
 17  605 360.00  0.00 800.00 26.00  1
 18  786 440.00  0.00 800.00 26.00  0
 19  840 470.00  0.00 800.00 26.00  0
