Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.3155  2.1604    -7.2550 -0.0710
      1  -1.7990  2.3034    -7.7915 -0.4205
      2  -2.4848  2.5578    -8.3487 -0.6877
      3  -1.2586  1.5129    -5.1963 -0.6301
      4  -2.2427  2.2430    -7.9486 -0.7274
      5  -1.6961  1.7835    -6.7401 -0.7287
      6  -1.4198  1.5119    -5.4310 -0.7015
      7  -1.4141  1.3552    -4.5125 -0.8460
      8  -1.2450  1.0690    -1.9155 -0.8444
      9  -2.3794  2.5585    -8.3119 -0.3751
     10  -1.8125  2.1731    -7.6261 -0.3626
     11  -1.4010  1.7342    -6.2710 -0.3556
     12  -1.1450  1.3306    -3.6805 -0.3521
     13  -0.9991  1.0050    -1.8259 -0.3506
     14  -0.9842  0.8173    -1.7037 -0.4905
     15  -0.9067  0.6509    -1.5067 -0.4765
     16  -0.9169  0.5273    -1.4933 -0.5728
     17  -0.8708  0.4288    -1.3387 -0.5668
     18  -0.8906  0.3539    -1.3432 -0.6240
     19  -0.8399  0.3122    -1.2969 -0.5988

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0828  0.0655     0.0000  0.1875
      1   0.0748  0.0656     0.0000  0.1859
      2   0.0607  0.0641     0.0000  0.1826
      3   0.0893  0.0643     0.0000  0.1890
      4   0.0283  0.0332     0.0000  0.0934
      5   0.0358  0.0345     0.0000  0.1018
      6   0.0434  0.0364     0.0000  0.1117
      7   0.0483  0.0381     0.0001  0.1197
      8   0.0549  0.0382     0.0001  0.1258
      9   0.0102  0.0119     0.0000  0.0306
     10   0.0128  0.0121     0.0000  0.0327
     11   0.0148  0.0118     0.0000  0.0338
     12   0.0160  0.0115     0.0001  0.0343
     13   0.0167  0.0112     0.0002  0.0346
     14   0.0183  0.0115     0.0007  0.0370
     15   0.0198  0.0117     0.0012  0.0387
     16   0.0213  0.0118     0.0018  0.0401
     17   0.0228  0.0120     0.0025  0.0413
     18   0.0242  0.0121     0.0034  0.0432
     19   0.0254  0.0124     0.0042  0.0452

