trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1081 610.00  0.00 800.00  0.71  0
  1  597 340.00  0.00 800.00  2.00  1
  2  705 400.00  0.00 800.00  2.00  1
  3  528 300.00  0.00 800.00  6.44  0
  4  670 380.00  0.00 800.00  3.00  1
  5  655 370.00  0.00 800.00  8.60  0
  6  778 440.00  0.00 800.00  3.00  0
  7  634 360.00  0.00 800.00  3.00  1
  8  796 450.00  0.00 800.00  3.00  0
  9  634 350.00  0.00 800.00  2.00  0
 10 1417 790.00  0.00 800.00 52.00  0
 11 1417 790.00  0.00 800.00 26.00  0
 12 1417 790.00  0.00 800.00 104.00  0
 13 1417 790.00  0.00 800.00 104.00  0
 14  543 310.00  0.00 800.00  2.00  1
 15  850 480.00  0.00 800.00  3.00  0
 16  561 320.00  0.00 800.00  2.00  1
 17  796 450.00  0.00 800.00  3.00  0
 18  597 340.00  0.00 800.00  2.00  1
 19  688 390.00  0.00 800.00  3.00  0
