Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.0795  2.4673    -9.0477 -1.3636
      1  -2.8952  1.2839    -4.8738 -1.1307
      2  -1.8556  0.8318    -2.8714 -0.9647
      3  -2.2933  0.6439    -2.9370 -1.8560
      4  -2.5734  0.5847    -3.1277 -2.2935
      5  -2.4139  0.5350    -2.8303 -2.1815
      6  -2.3368  0.9575    -3.1375 -1.7806
      7  -2.2143  0.9118    -2.7860 -1.6539
      8  -2.2189  0.7191    -2.6275 -1.9262
      9  -2.1530  0.5799    -2.5344 -1.9209
     10  -2.1551  0.4482    -2.5190 -2.1116
     11  -2.1304  0.3325    -2.4103 -2.1136
     12  -2.1179  0.2456    -2.3727 -2.1143
     13  -2.1226  0.1849    -2.3729 -2.1214
     14  -2.1181  0.1373    -2.3705 -2.1216
     15  -2.1116  0.1038    -2.3651 -2.1215
     16  -2.1145  0.0778    -2.3653 -2.1244
     17  -2.1157  0.0617    -2.3655 -2.1256
     18  -2.1134  0.0445    -2.3635 -2.1255
     19  -2.1131  0.0338    -2.3633 -2.1256

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1025  0.0584     0.0078  0.1899
      1   0.1024  0.0585     0.0073  0.1899
      2   0.1027  0.0584     0.0074  0.1899
      3   0.1032  0.0583     0.0078  0.1901
      4   0.1032  0.0587     0.0070  0.1902
      5   0.1046  0.0579     0.0087  0.1903
      6   0.0505  0.0396     0.0001  0.1262
      7   0.0505  0.0393     0.0001  0.1261
      8   0.0579  0.0398     0.0023  0.1333
      9   0.0641  0.0408     0.0060  0.1405
     10   0.0703  0.0406     0.0111  0.1455
     11   0.0737  0.0400     0.0155  0.1480
     12   0.0759  0.0395     0.0185  0.1493
     13   0.0799  0.0390     0.0229  0.1521
     14   0.0811  0.0386     0.0249  0.1528
     15   0.0846  0.0386     0.0280  0.1560
     16   0.0881  0.0383     0.0313  0.1585
     17   0.0919  0.0384     0.0347  0.1622
     18   0.0952  0.0382     0.0373  0.1646
     19   0.0955  0.0380     0.0379  0.1647

