Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.4833  1.7053    -9.1908 -4.0784
      1  -5.0904  0.9797    -6.5237 -3.9575
      2  -5.7779  0.7140    -6.6186 -5.2679
      3  -6.0575  0.6178    -6.7649 -5.7225
      4  -5.8848  0.4936    -6.3235 -5.6429
      5  -6.0269  0.4834    -6.4744 -5.8636
      6  -5.8022  0.8400    -6.4895 -5.3053
      7  -5.7323  0.7592    -6.2946 -5.3460
      8  -5.7581  1.1024    -6.7314 -3.6777
      9  -5.2194  2.3156    -8.7713 -0.7798
     10  -5.4706  2.0519    -8.5604 -1.0608
     11  -5.7063  1.7295    -8.1859 -1.6014
     12  -5.8893  1.3983    -7.7067 -2.6305
     13  -6.0100  1.1078    -7.3949 -4.4497
     14  -6.0811  0.8828    -7.2747 -5.3114
     15  -6.2445  1.2973    -7.9656 -3.6558
     16  -6.3511  1.0462    -7.8258 -5.3526
     17  -6.4111  0.8665    -7.7548 -5.6145
     18  -6.2981  0.7441    -7.3980 -5.5985
     19  -6.2155  0.6455    -7.1821 -5.5802

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1003  0.0594     0.0045  0.1897
      1   0.0996  0.0596     0.0039  0.1895
      2   0.1001  0.0597     0.0039  0.1897
      3   0.1010  0.0591     0.0051  0.1898
      4   0.1060  0.0577     0.0090  0.1905
      5   0.1068  0.0576     0.0088  0.1907
      6   0.0568  0.0435     0.0001  0.1398
      7   0.0617  0.0453     0.0001  0.1475
      8   0.0358  0.0294     0.0000  0.0881
      9   0.0039  0.0064     0.0000  0.0136
     10   0.0057  0.0070     0.0000  0.0166
     11   0.0074  0.0072     0.0000  0.0183
     12   0.0088  0.0070     0.0000  0.0192
     13   0.0098  0.0068     0.0000  0.0197
     14   0.0103  0.0066     0.0001  0.0200
     15   0.0069  0.0039     0.0000  0.0115
     16   0.0074  0.0035     0.0001  0.0118
     17   0.0077  0.0032     0.0001  0.0119
     18   0.0081  0.0035     0.0002  0.0125
     19   0.0085  0.0037     0.0003  0.0130

