Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6107  2.7305    -9.0001 -0.4837
      1  -2.2997  1.4600    -4.5801 -0.2489
      2  -3.4478  0.8697    -4.6921 -2.4294
      3  -2.7947  0.6297    -3.5075 -2.2990
      4  -2.5056  0.5799    -3.0404 -2.1320
      5  -2.6839  0.5294    -3.1410 -2.4531
      6  -2.5891  0.9758    -3.6043 -1.8567
      7  -2.4965  0.7687    -3.0070 -1.9081
      8  -2.4360  0.6256    -2.8834 -1.9278
      9  -2.2285  1.0106    -2.8994 -0.9455
     10  -1.8934  1.5033    -5.4278 -0.3449
     11  -1.9965  1.2610    -4.0957 -0.7104
     12  -2.0538  1.0346    -2.9470 -1.1025
     13  -1.9393  1.5275    -5.8910 -0.6178
     14  -1.7526  1.1996    -3.1847 -0.6290
     15  -1.6469  0.9504    -2.6130 -0.6358
     16  -1.4379  1.2539    -3.0401 -0.3313
     17  -1.3240  0.9963    -2.4014 -0.3295
     18  -1.1191  1.0913    -2.2796 -0.1966
     19  -1.0376  0.8732    -2.0847 -0.1941

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1017  0.0587     0.0068  0.1898
      1   0.1018  0.0587     0.0068  0.1899
      2   0.1014  0.0589     0.0063  0.1898
      3   0.1006  0.0590     0.0059  0.1896
      4   0.1002  0.0593     0.0054  0.1896
      5   0.1023  0.0588     0.0064  0.1900
      6   0.0488  0.0410     0.0001  0.1278
      7   0.0544  0.0411     0.0008  0.1325
      8   0.0594  0.0417     0.0027  0.1377
      9   0.0276  0.0237     0.0001  0.0714
     10   0.0103  0.0077     0.0000  0.0220
     11   0.0120  0.0083     0.0001  0.0250
     12   0.0137  0.0087     0.0001  0.0267
     13   0.0084  0.0053     0.0000  0.0144
     14   0.0091  0.0050     0.0001  0.0149
     15   0.0094  0.0047     0.0002  0.0152
     16   0.0074  0.0033     0.0001  0.0115
     17   0.0077  0.0030     0.0002  0.0116
     18   0.0072  0.0025     0.0001  0.0094
     19   0.0074  0.0023     0.0003  0.0096

