Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.3902  1.8053    -9.1846 -3.8756
      1  -4.9649  1.1443    -6.5175 -3.4369
      2  -4.2576  0.9559    -5.2608 -2.5411
      3  -3.7263  0.9933    -4.5832 -1.4746
      4  -3.0067  1.2665    -4.1905 -0.5637
      5  -2.0751  1.3448    -3.8265 -0.2495
      6  -1.2822  1.2302    -3.0824 -0.1312
      7  -0.8419  1.1460    -2.3136 -0.0800
      8  -0.5871  1.0604    -1.6804 -0.0558
      9  -0.4341  0.8904    -1.2105 -0.0471
     10  -0.3151  0.8078    -0.9454 -0.0380
     11  -0.2366  0.6601    -0.7632 -0.0346
     12  -0.1793  0.5407    -0.6729 -0.0318
     13  -0.1409  0.4297    -0.5467 -0.0302
     14  -0.1105  0.3467    -0.5142 -0.0287
     15  -0.0781  0.2982    -0.4845 -0.0265
     16  -0.0612  0.2379    -0.4623 -0.0257
     17  -0.0471  0.1909    -0.4319 -0.0250
     18  -0.0351  0.1534    -0.3804 -0.0244
     19  -0.0228  0.1368    -0.2698 -0.0237

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0994  0.0597     0.0042  0.1895
      1   0.0978  0.0602     0.0036  0.1893
      2   0.0959  0.0605     0.0035  0.1890
      3   0.0899  0.0617     0.0024  0.1880
      4   0.0576  0.0554     0.0005  0.1734
      5   0.0211  0.0178     0.0001  0.0522
      6   0.0161  0.0113     0.0001  0.0343
      7   0.0159  0.0109     0.0001  0.0336
      8   0.0167  0.0111     0.0003  0.0344
      9   0.0183  0.0115     0.0007  0.0371
     10   0.0192  0.0117     0.0010  0.0383
     11   0.0208  0.0120     0.0016  0.0402
     12   0.0222  0.0123     0.0023  0.0419
     13   0.0236  0.0125     0.0032  0.0440
     14   0.0249  0.0127     0.0044  0.0457
     15   0.0258  0.0127     0.0055  0.0465
     16   0.0271  0.0129     0.0071  0.0478
     17   0.0284  0.0131     0.0077  0.0494
     18   0.0296  0.0133     0.0083  0.0511
     19   0.0302  0.0134     0.0085  0.0520

