trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  196 110.00  0.00 800.00 260.00  0
  1  654 370.00  0.00 800.00  6.44  0
  2  705 400.00  0.00 800.00  2.00  0
  3  597 340.00  0.00 800.00  2.00  0
  4  758 430.00  0.00 800.00  1.00  0
  5  758 440.00  0.00 800.00  0.71  0
  6 1195 670.00  0.00 800.00  8.60  0
  7 1249 700.00  0.00 800.00  8.60  0
  8  830 470.00  0.00 800.00  1.00  0
  9  812 460.00  0.00 800.00  1.00  0
 10  812 480.00  0.00 800.00  2.00  0
 11  794 450.00  0.00 800.00  1.00  0
 12  794 450.00  0.00 800.00  2.00  1
 13 1416 790.00  0.00 800.00 26.00  0
 14 1416 770.00  0.00 800.00 21.50  0
 15 1417 790.00  0.00 800.00 52.00  0
 16 1417 790.00  0.00 800.00 26.00  0
 17  831 470.00  0.00 800.00  2.00  0
 18 1010 570.00  0.00 800.00  1.00  0
 19  992 560.00  0.00 800.00  1.00  0
