Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.9539  2.5375    -9.0349 -1.1278
      1  -2.6600  1.2938    -4.6414 -0.8866
      2  -3.6038  0.8134    -4.7246 -2.6907
      3  -3.0611  0.6024    -3.7481 -2.6249
      4  -2.7768  0.5437    -3.2854 -2.4344
      5  -2.6199  0.5426    -3.0617 -2.2415
      6  -2.3844  0.9339    -3.0877 -1.2469
      7  -2.0484  1.3339    -4.5864 -0.6012
      8  -2.1926  1.0989    -3.3795 -1.1531
      9  -2.2713  0.9078    -3.0503 -1.5996
     10  -2.3194  0.7545    -2.9468 -1.8650
     11  -2.2095  0.7475    -2.8033 -1.7457
     12  -2.2306  0.6118    -2.7705 -1.8962
     13  -2.1572  0.5436    -2.6172 -1.8750
     14  -2.1507  0.4189    -2.6085 -1.9057
     15  -2.1092  0.3486    -2.5535 -1.8951
     16  -2.1132  0.2744    -2.5501 -1.9197
     17  -2.0412  0.3733    -2.4490 -1.8610
     18  -2.0833  0.3329    -2.4936 -1.8891
     19  -2.1067  0.2813    -2.5110 -1.9253

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1021  0.0585     0.0074  0.1899
      1   0.1017  0.0586     0.0070  0.1898
      2   0.1015  0.0587     0.0068  0.1898
      3   0.1018  0.0586     0.0071  0.1898
      4   0.1020  0.0589     0.0068  0.1899
      5   0.1006  0.0595     0.0059  0.1898
      6   0.0436  0.0385     0.0001  0.1196
      7   0.0164  0.0137     0.0000  0.0399
      8   0.0197  0.0149     0.0001  0.0451
      9   0.0228  0.0158     0.0001  0.0492
     10   0.0255  0.0165     0.0008  0.0533
     11   0.0253  0.0162     0.0008  0.0526
     12   0.0278  0.0166     0.0021  0.0554
     13   0.0298  0.0174     0.0030  0.0592
     14   0.0312  0.0172     0.0051  0.0603
     15   0.0334  0.0178     0.0071  0.0633
     16   0.0347  0.0176     0.0081  0.0646
     17   0.0275  0.0133     0.0055  0.0485
     18   0.0288  0.0137     0.0069  0.0509
     19   0.0304  0.0140     0.0076  0.0530

