Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.7357  2.6646    -9.0132 -0.6990
      1  -2.4208  1.4068    -4.5953 -0.4349
      2  -1.3790  0.9216    -2.5968 -0.3053
      3  -2.0477  0.6699    -2.7482 -1.5954
      4  -1.7640  0.6158    -2.2630 -1.4368
      5  -1.6137  0.6026    -2.0256 -1.3372
      6  -1.6352  0.4567    -2.0150 -1.5888
      7  -1.5993  0.3405    -1.8451 -1.5888
      8  -1.7382  0.7632    -2.1145 -1.5511
      9  -2.2079  1.4569    -6.1817 -1.3937
     10  -2.0219  1.1095    -3.6258 -1.4404
     11  -2.8908  1.9918    -7.9926 -1.1631
     12  -2.5633  1.6259    -7.0024 -1.3379
     13  -2.3469  1.2850    -5.1694 -1.4010
     14  -2.2174  1.0078    -3.6020 -1.4381
     15  -2.1457  0.8066    -3.2774 -1.4589
     16  -2.5408  1.0713    -4.2322 -1.6257
     17  -2.9755  1.3129    -5.8208 -1.7768
     18  -2.8668  1.0767    -4.6930 -1.8608
     19  -2.8037  0.9093    -4.3393 -1.8837

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1022  0.0586     0.0071  0.1899
      1   0.1027  0.0585     0.0074  0.1900
      2   0.1038  0.0580     0.0087  0.1901
      3   0.1018  0.0587     0.0068  0.1899
      4   0.1028  0.0586     0.0074  0.1901
      5   0.1022  0.0588     0.0074  0.1900
      6   0.1128  0.0557     0.0148  0.1915
      7   0.1203  0.0528     0.0230  0.1924
      8   0.0653  0.0437     0.0026  0.1470
      9   0.0264  0.0230     0.0000  0.0675
     10   0.0285  0.0226     0.0001  0.0687
     11   0.0079  0.0077     0.0000  0.0195
     12   0.0094  0.0075     0.0000  0.0203
     13   0.0104  0.0073     0.0000  0.0207
     14   0.0110  0.0070     0.0001  0.0211
     15   0.0113  0.0069     0.0003  0.0214
     16   0.0079  0.0039     0.0001  0.0126
     17   0.0064  0.0029     0.0000  0.0071
     18   0.0069  0.0025     0.0001  0.0076
     19   0.0071  0.0022     0.0002  0.0078

