  0 1103 620.00  0.00 800.00  4.30  1
  1  701 390.00  0.00 800.00 520.00  0
  2  698 390.00  0.00 800.00 104.00  0
  3  822 460.00  0.00 800.00 26.00  1
  4  769 430.00  0.00 800.00 52.00  0
  5  661 370.00  0.00 800.00 52.00  1
  6  769 440.00  0.00 800.00 26.00  1
  7  769 410.00  0.00 800.00 104.00  0
  8  769 420.00  0.00 800.00 104.00  0
  9  769 430.00  0.00 800.00 26.00  1
 10  769 430.00  0.00 800.00 104.00  0
 11  769 430.00  0.00 800.00 26.00  1
 12  769 410.00  0.00 800.00 26.00  1
 13  769 440.00  0.00 800.00 26.00  1
 14  769 410.00  0.00 800.00 104.00  0
 15  769 430.00  0.00 800.00 104.00  0
 16  769 420.00  0.00 800.00 104.00  0
 17  769 420.00  0.00 800.00 104.00  0
 18  769 440.00  0.00 800.00 26.00  1
 19  769 450.00  0.00 800.00 26.00  1
