Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.3361  1.3417    -3.1474 -0.1362
      1  -1.9816  1.1902    -4.0621 -1.3184
      2  -2.2685  1.1703    -4.6495 -1.7104
      3  -2.4831  1.2434    -5.5150 -1.9676
      4  -3.2641  1.8530    -8.0371 -2.0858
      5  -4.8070  2.2526    -8.9270 -1.9484
      6  -6.1066  2.1879    -9.1789 -1.9240
      7  -6.3091  2.0220    -9.1933 -2.7233
      8  -5.2466  1.7636    -8.4432 -2.4161
      9  -5.2954  1.6381    -8.3270 -2.7839
     10  -4.6150  1.3778    -6.9968 -2.6184
     11  -5.1364  1.2688    -7.3279 -3.2410
     12  -5.5506  1.2303    -7.7290 -3.8913
     13  -5.3646  1.0174    -6.9440 -4.0138
     14  -5.1393  0.9200    -6.4835 -3.8902
     15  -5.3218  0.8190    -6.5499 -4.3480
     16  -5.1780  0.7393    -6.2626 -4.2714
     17  -5.2912  0.6509    -6.2970 -4.5475
     18  -5.1977  0.5848    -6.1052 -4.5061
     19  -5.2542  0.5141    -6.1253 -4.6454

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0964  0.0613     0.0001  0.1892
      1   0.0944  0.0620     0.0001  0.1889
      2   0.0931  0.0620     0.0001  0.1886
      3   0.0906  0.0628     0.0001  0.1883
      4   0.0399  0.0437     0.0000  0.1311
      5   0.0080  0.0074     0.0000  0.0192
      6   0.0056  0.0039     0.0000  0.0089
      7   0.0065  0.0034     0.0000  0.0097
      8   0.0064  0.0036     0.0000  0.0100
      9   0.0070  0.0032     0.0000  0.0104
     10   0.0072  0.0034     0.0001  0.0112
     11   0.0072  0.0034     0.0001  0.0111
     12   0.0071  0.0033     0.0001  0.0109
     13   0.0075  0.0033     0.0001  0.0117
     14   0.0078  0.0034     0.0001  0.0122
     15   0.0081  0.0036     0.0002  0.0126
     16   0.0085  0.0038     0.0002  0.0130
     17   0.0089  0.0040     0.0004  0.0134
     18   0.0093  0.0042     0.0004  0.0137
     19   0.0097  0.0043     0.0005  0.0142

