Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.3586  2.0307    -6.6124 -0.3564
      1  -1.6661  1.1761    -3.3420 -0.1827
      2  -2.5580  0.7880    -3.4210 -1.8679
      3  -2.9689  0.6750    -3.6471 -2.5700
      4  -2.7059  0.6802    -3.1947 -2.3876
      5  -2.7173  0.5241    -3.1499 -2.5920
      6  -2.7224  0.4299    -3.1458 -2.6498
      7  -2.7351  0.3909    -3.1572 -2.6535
      8  -2.6900  0.2621    -3.0939 -2.6526
      9  -2.6899  0.2150    -3.0968 -2.6537
     10  -2.6880  0.1777    -3.0956 -2.6541
     11  -2.6871  0.1537    -3.0952 -2.6543
     12  -2.6859  0.1377    -3.0937 -2.6543
     13  -2.6884  0.1320    -3.0982 -2.6546
     14  -2.6670  0.0929    -3.0408 -2.6534
     15  -2.6754  0.1000    -3.0706 -2.6539
     16  -2.6727  0.0920    -3.0630 -2.6538
     17  -2.6828  0.1011    -3.0866 -2.6545
     18  -2.6732  0.0901    -3.0644 -2.6538
     19  -2.6738  0.0902    -3.0661 -2.6539

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1009  0.0591     0.0055  0.1897
      1   0.1013  0.0591     0.0057  0.1898
      2   0.1006  0.0595     0.0046  0.1898
      3   0.1007  0.0598     0.0042  0.1899
      4   0.0962  0.0600     0.0027  0.1888
      5   0.1053  0.0576     0.0082  0.1902
      6   0.1132  0.0560     0.0138  0.1917
      7   0.1156  0.0559     0.0159  0.1923
      8   0.1232  0.0520     0.0282  0.1931
      9   0.1273  0.0507     0.0328  0.1936
     10   0.1299  0.0495     0.0367  0.1939
     11   0.1321  0.0485     0.0398  0.1942
     12   0.1330  0.0478     0.0418  0.1942
     13   0.1351  0.0473     0.0435  0.1946
     14   0.1404  0.0441     0.0539  0.1950
     15   0.1412  0.0445     0.0527  0.1952
     16   0.1421  0.0437     0.0557  0.1953
     17   0.1423  0.0443     0.0541  0.1955
     18   0.1452  0.0423     0.0605  0.1957
     19   0.1463  0.0418     0.0621  0.1958

