trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  899 500.00  0.00 800.00 520.00  0
  1  732 410.00  0.00 800.00 26.00  0
  2  654 370.00  0.00 800.00  6.44  1
  3  693 390.00  0.00 800.00 12.90  0
  4  656 370.00  0.00 800.00 10.80  1
  5  656 360.00  0.00 800.00  8.60  1
  6  764 430.00  0.00 800.00 10.80  1
  7  693 390.00  0.00 800.00 12.90  1
  8  730 410.00  0.00 800.00 17.20  0
  9  730 410.00  0.00 800.00 12.90  1
 10  712 400.00  0.00 800.00 17.20  0
 11  712 390.00  0.00 800.00 21.50  0
 12  712 420.00  0.00 800.00 12.90  1
 13  712 380.00  0.00 800.00 21.50  0
 14  712 380.00  0.00 800.00 12.90  1
 15  712 410.00  0.00 800.00 12.90  1
 16  712 420.00  0.00 800.00 12.90  1
 17  712 390.00  0.00 800.00 12.90  1
 18  694 390.00  0.00 800.00 17.20  1
 19  694 380.00  0.00 800.00 21.50  0
