Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -3.2298  1.9657    -6.3635 -0.3429
      1  -1.6806  1.1815    -3.3608 -0.1843
      2  -2.4405  0.8105    -3.4206 -1.6284
      3  -2.8392  0.6457    -3.5730 -2.3862
      4  -3.1146  0.6007    -3.7478 -2.7903
      5  -2.9264  0.5059    -3.3579 -2.6881
      6  -2.9490  0.4007    -3.3500 -2.9046
      7  -3.2257  0.8113    -4.3858 -2.9061
      8  -3.3236  0.7922    -4.5886 -2.9554
      9  -3.9614  1.3743    -7.2052 -2.9109
     10  -4.8743  1.7822    -8.4681 -2.1108
     11  -4.8891  1.6167    -8.2820 -2.9768
     12  -4.4432  1.2502    -6.8327 -3.0808
     13  -4.9699  1.3826    -7.6289 -3.1467
     14  -4.9854  1.2212    -7.2827 -3.5076
     15  -4.6505  1.0289    -6.3322 -3.4498
     16  -4.9800  1.0609    -6.7427 -3.7422
     17  -4.9884  0.9336    -6.5516 -3.8780
     18  -4.7513  0.8154    -6.0291 -3.7680
     19  -4.5345  0.7722    -5.7092 -3.6274

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1007  0.0592     0.0052  0.1897
      1   0.1011  0.0591     0.0056  0.1898
      2   0.1010  0.0591     0.0056  0.1897
      3   0.1015  0.0588     0.0062  0.1898
      4   0.1003  0.0590     0.0056  0.1895
      5   0.1029  0.0583     0.0075  0.1900
      6   0.1127  0.0560     0.0136  0.1915
      7   0.0511  0.0393     0.0001  0.1251
      8   0.0516  0.0402     0.0006  0.1280
      9   0.0144  0.0128     0.0000  0.0367
     10   0.0061  0.0043     0.0000  0.0112
     11   0.0069  0.0040     0.0000  0.0117
     12   0.0076  0.0042     0.0000  0.0127
     13   0.0064  0.0031     0.0000  0.0081
     14   0.0069  0.0027     0.0001  0.0085
     15   0.0071  0.0028     0.0001  0.0100
     16   0.0068  0.0026     0.0001  0.0081
     17   0.0071  0.0023     0.0001  0.0083
     18   0.0073  0.0024     0.0002  0.0094
     19   0.0073  0.0024     0.0002  0.0097

