Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.3645  1.7715    -9.1794 -3.8026
      1  -4.9591  1.0271    -6.5020 -3.6137
      2  -4.1552  0.7125    -4.9898 -3.3995
      3  -3.7394  0.6665    -4.3921 -3.0378
      4  -3.5365  0.6536    -4.0800 -2.7711
      5  -3.2843  0.7639    -3.9180 -2.2411
      6  -2.9345  0.9701    -3.7857 -1.5532
      7  -2.5105  1.2034    -3.9487 -0.9174
      8  -2.0944  1.5412    -5.7652 -0.4407
      9  -1.9256  1.2569    -3.5356 -0.4421
     10  -1.5654  1.4714    -4.6337 -0.2185
     11  -1.4106  1.1898    -2.9145 -0.2131
     12  -1.1164  1.2254    -2.6779 -0.1263
     13  -1.0150  0.9898    -2.3312 -0.1238
     14  -0.7801  0.9914    -2.0158 -0.0806
     15  -0.6181  0.9042    -1.6847 -0.0636
     16  -0.5642  0.7224    -1.5703 -0.0629
     17  -0.4733  0.6157    -1.3770 -0.0560
     18  -0.3750  0.5585    -1.1901 -0.0470
     19  -0.3105  0.4873    -1.0348 -0.0422

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1030  0.0585     0.0060  0.1900
      1   0.1026  0.0588     0.0053  0.1900
      2   0.1019  0.0594     0.0041  0.1900
      3   0.0971  0.0606     0.0025  0.1892
      4   0.0936  0.0611     0.0025  0.1887
      5   0.0679  0.0550     0.0009  0.1739
      6   0.0316  0.0296     0.0001  0.0889
      7   0.0149  0.0119     0.0001  0.0345
      8   0.0086  0.0057     0.0000  0.0164
      9   0.0092  0.0055     0.0001  0.0169
     10   0.0073  0.0038     0.0000  0.0120
     11   0.0078  0.0035     0.0001  0.0122
     12   0.0073  0.0030     0.0001  0.0109
     13   0.0076  0.0028     0.0002  0.0110
     14   0.0074  0.0025     0.0002  0.0101
     15   0.0075  0.0025     0.0003  0.0104
     16   0.0076  0.0024     0.0004  0.0105
     17   0.0077  0.0025     0.0004  0.0110
     18   0.0078  0.0025     0.0004  0.0111
     19   0.0079  0.0026     0.0004  0.0115

