Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.9427  1.3630    -3.8656 -0.2084
      1  -2.8146  0.9285    -3.9342 -1.8890
      2  -3.3341  0.7538    -4.1306 -2.8104
      3  -3.6374  0.7376    -4.4670 -3.2739
      4  -3.8277  0.7917    -4.9875 -3.4913
      5  -4.3509  1.3354    -7.6266 -3.3775
      6  -5.2031  1.7872    -8.7352 -2.3186
      7  -6.0439  2.0713    -9.1121 -1.7827
      8  -6.2568  1.8588    -9.1225 -2.9158
      9  -5.5236  1.5677    -8.3783 -2.7893
     10  -5.5971  1.3826    -8.2254 -3.8478
     11  -5.2908  1.1098    -7.1355 -3.9623
     12  -5.0129  0.9656    -6.5098 -3.8864
     13  -4.7765  0.8901    -6.0905 -3.7699
     14  -4.7787  0.7692    -6.0023 -3.8618
     15  -4.5570  0.7335    -5.6947 -3.7182
     16  -4.4195  0.6666    -5.4430 -3.6456
     17  -4.5095  0.5921    -5.4720 -3.8273
     18  -4.3919  0.5438    -5.2525 -3.7577
     19  -4.4502  0.4852    -5.2664 -3.9017

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1001  0.0599     0.0023  0.1897
      1   0.1001  0.0599     0.0025  0.1898
      2   0.0997  0.0602     0.0021  0.1897
      3   0.0990  0.0614     0.0011  0.1900
      4   0.0949  0.0628     0.0004  0.1898
      5   0.0305  0.0321     0.0000  0.0938
      6   0.0089  0.0080     0.0000  0.0210
      7   0.0054  0.0040     0.0000  0.0092
      8   0.0064  0.0037     0.0000  0.0100
      9   0.0066  0.0041     0.0000  0.0116
     10   0.0073  0.0037     0.0000  0.0119
     11   0.0078  0.0039     0.0001  0.0126
     12   0.0082  0.0040     0.0001  0.0130
     13   0.0085  0.0042     0.0001  0.0132
     14   0.0087  0.0040     0.0003  0.0133
     15   0.0088  0.0040     0.0003  0.0133
     16   0.0091  0.0042     0.0003  0.0136
     17   0.0096  0.0044     0.0004  0.0140
     18   0.0099  0.0045     0.0005  0.0153
     19   0.0104  0.0047     0.0006  0.0164

