Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.4762  2.2611    -9.0892 -2.1131
      1  -3.5467  1.2453    -5.4280 -1.8420
      2  -4.4987  0.7432    -5.5129 -3.7240
      3  -4.8962  0.5884    -5.6363 -4.4789
      4  -5.1879  0.5553    -5.8094 -4.9199
      5  -5.0062  0.4561    -5.4755 -4.7984
      6  -4.9957  0.3350    -5.4301 -4.8157
      7  -5.0207  0.2490    -5.4290 -5.0045
      8  -5.0297  0.1930    -5.4264 -5.0122
      9  -5.0352  0.1569    -5.4265 -5.0171
     10  -5.0305  0.1209    -5.4076 -5.0171
     11  -5.0313  0.1054    -5.4063 -5.0180
     12  -5.0317  0.0962    -5.4054 -5.0185
     13  -5.0318  0.0910    -5.4044 -5.0188
     14  -5.0297  0.0831    -5.3942 -5.0187
     15  -5.0298  0.0813    -5.3940 -5.0189
     16  -5.0298  0.0804    -5.3936 -5.0189
     17  -5.0299  0.0799    -5.3940 -5.0190
     18  -5.0287  0.0771    -5.3872 -5.0189
     19  -5.0284  0.0764    -5.3855 -5.0189

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1009  0.0590     0.0060  0.1897
      1   0.1004  0.0591     0.0059  0.1896
      2   0.1014  0.0589     0.0060  0.1898
      3   0.1015  0.0587     0.0064  0.1898
      4   0.1009  0.0594     0.0052  0.1898
      5   0.1031  0.0586     0.0071  0.1901
      6   0.1063  0.0569     0.0127  0.1904
      7   0.1128  0.0544     0.0196  0.1913
      8   0.1166  0.0526     0.0250  0.1917
      9   0.1208  0.0510     0.0301  0.1922
     10   0.1221  0.0500     0.0337  0.1923
     11   0.1233  0.0493     0.0361  0.1924
     12   0.1246  0.0485     0.0384  0.1926
     13   0.1253  0.0481     0.0400  0.1926
     14   0.1260  0.0475     0.0419  0.1927
     15   0.1269  0.0471     0.0434  0.1928
     16   0.1274  0.0467     0.0444  0.1928
     17   0.1286  0.0462     0.0462  0.1929
     18   0.1290  0.0458     0.0474  0.1930
     19   0.1291  0.0458     0.0478  0.1930

