Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -1.9950  2.8347    -8.3335 -0.0377
      1  -4.4227  2.7741    -8.9719 -0.4117
      2  -4.2864  2.7958    -8.9489 -0.3748
      3  -4.0835  2.8156    -8.9104 -0.3312
      4  -3.8336  2.8184    -8.8542 -0.2928
      5  -3.5763  2.7971    -8.7828 -0.2634
      6  -2.5516  2.3753    -8.0568 -0.1917
      7  -2.1759  2.0858    -7.1935 -0.1736
      8  -3.4152  2.1564    -8.1238 -0.6156
      9  -3.2430  2.0017    -7.6835 -0.6393
     10  -2.5451  1.6868    -6.2920 -0.4808
     11  -3.0437  1.5569    -6.5463 -1.1290
     12  -2.9201  1.3552    -5.4610 -1.1803
     13  -2.4929  1.2196    -4.3759 -0.9262
     14  -2.8597  1.1422    -4.7032 -1.5622
     15  -2.7964  0.9874    -4.3532 -1.6013
     16  -2.5568  0.8872    -3.8496 -1.4295
     17  -2.7487  0.7984    -3.9472 -1.8345
     18  -2.5639  0.7400    -3.6324 -1.6794
     19  -2.6875  0.6647    -3.6869 -1.9295

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0552  0.0665     0.0000  0.1822
      1   0.0010  0.0026     0.0000  0.0044
      2   0.0016  0.0032     0.0000  0.0058
      3   0.0026  0.0039     0.0000  0.0066
      4   0.0037  0.0042     0.0000  0.0070
      5   0.0050  0.0042     0.0000  0.0087
      6   0.0057  0.0044     0.0000  0.0108
      7   0.0067  0.0040     0.0000  0.0114
      8   0.0054  0.0035     0.0000  0.0068
      9   0.0061  0.0030     0.0000  0.0069
     10   0.0064  0.0029     0.0000  0.0070
     11   0.0065  0.0030     0.0000  0.0074
     12   0.0069  0.0026     0.0001  0.0079
     13   0.0070  0.0026     0.0001  0.0087
     14   0.0070  0.0027     0.0001  0.0090
     15   0.0073  0.0024     0.0002  0.0092
     16   0.0074  0.0025     0.0003  0.0101
     17   0.0076  0.0026     0.0003  0.0108
     18   0.0077  0.0028     0.0003  0.0113
     19   0.0080  0.0030     0.0004  0.0119

