Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.7801  2.6365    -9.0175 -0.7961
      1  -2.7300  1.5043    -5.1037 -0.5804
      2  -3.9703  0.8552    -5.2241 -2.9526
      3  -3.3129  0.5956    -4.0419 -2.8216
      4  -3.6072  0.5041    -4.1776 -3.3311
      5  -3.7592  0.4824    -4.3184 -3.5475
      6  -4.0551  0.7802    -5.2633 -3.6923
      7  -3.9250  0.5629    -4.4769 -3.6937
      8  -3.9953  0.5021    -4.5451 -3.7660
      9  -3.9918  0.3992    -4.4714 -3.8011
     10  -4.2300  0.7175    -5.3462 -3.9046
     11  -4.6372  1.0726    -6.8442 -3.9080
     12  -4.4507  0.7887    -5.6373 -3.9634
     13  -4.3508  0.6229    -5.1852 -3.9690
     14  -4.2872  0.5015    -4.9530 -3.9703
     15  -4.2289  0.4211    -4.7742 -3.9649
     16  -4.1212  0.5488    -4.7202 -3.7667
     17  -4.0928  0.4400    -4.6592 -3.7792
     18  -4.1132  0.3633    -4.6579 -3.8714
     19  -4.0843  0.3063    -4.5792 -3.8604

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1024  0.0585     0.0076  0.1899
      1   0.1027  0.0584     0.0080  0.1900
      2   0.1016  0.0586     0.0072  0.1898
      3   0.1009  0.0586     0.0069  0.1896
      4   0.1015  0.0585     0.0072  0.1897
      5   0.1004  0.0585     0.0071  0.1894
      6   0.0520  0.0435     0.0002  0.1390
      7   0.0613  0.0442     0.0027  0.1474
      8   0.0672  0.0466     0.0040  0.1565
      9   0.0702  0.0461     0.0072  0.1581
     10   0.0301  0.0222     0.0006  0.0698
     11   0.0145  0.0103     0.0001  0.0311
     12   0.0166  0.0105     0.0001  0.0331
     13   0.0185  0.0107     0.0006  0.0346
     14   0.0201  0.0108     0.0015  0.0369
     15   0.0217  0.0111     0.0024  0.0391
     16   0.0182  0.0096     0.0009  0.0326
     17   0.0193  0.0095     0.0018  0.0334
     18   0.0204  0.0095     0.0027  0.0342
     19   0.0215  0.0096     0.0038  0.0356

