trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  901 510.00  0.00 800.00  0.71  1
  1  698 390.00  0.00 800.00 104.00  0
  2  693 390.00  0.00 800.00 12.90  1
  3  822 460.00  0.00 800.00 26.00  1
  4  769 430.00  0.00 800.00 52.00  0
  5  661 370.00  0.00 800.00 52.00  1
  6  769 440.00  0.00 800.00 104.00  1
  7    3  10.00  0.00 800.00  2.00  1
  8    3  10.00  0.00 800.00  1.00  1
  9  754 420.00  0.00 800.00 260.00  0
 10  807 450.00  0.00 800.00 156.00  0
 11  643 360.00  0.00 800.00 52.00  1
 12  770 430.00  0.00 800.00 104.00  0
 13  697 390.00  0.00 800.00 52.00  0
 14  463 260.00  0.00 800.00 52.00  1
 15  734 410.00  0.00 800.00 104.00  1
 16    0  10.00  0.00 800.00  0.43  1
 17  914 510.00  0.00 800.00 104.00  0
 18  553 310.00  0.00 800.00 52.00  0
 19    0  10.00  0.00 800.00  0.43  1
