Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.5607  2.7497    -8.9939 -0.4394
      1  -4.5317  2.7611    -8.9904 -0.4141
      2  -4.4199  2.7736    -8.9624 -0.3618
      3  -4.3067  2.8024    -8.9413 -0.3016
      4  -4.1303  2.8369    -8.9044 -0.2410
      5  -3.8810  2.8654    -8.8425 -0.1917
      6  -3.5859  2.8695    -8.7490 -0.1559
      7  -3.3013  2.8428    -8.6287 -0.1333
      8  -2.1560  2.4208    -7.8843 -0.0917
      9  -1.7361  2.0849    -6.8609 -0.0818
     10  -1.2210  1.6832    -5.1244 -0.0684
     11  -2.2076  2.0173    -7.1620 -0.1813
     12  -1.9392  1.7261    -5.7450 -0.1697
     13  -2.6847  1.7186    -6.5845 -0.5630
     14  -2.5319  1.5118    -5.5582 -0.5664
     15  -2.0396  1.3297    -4.1848 -0.3834
     16  -2.4108  1.2241    -4.4424 -0.9296
     17  -2.0721  1.1969    -3.7725 -0.6532
     18  -1.9908  1.0158    -3.4108 -0.6591
     19  -2.2608  0.9335    -3.6132 -1.1692

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0003  0.0011     0.0000  0.0001
      1   0.0004  0.0014     0.0000  0.0001
      2   0.0006  0.0019     0.0000  0.0025
      3   0.0011  0.0025     0.0000  0.0045
      4   0.0017  0.0030     0.0000  0.0056
      5   0.0026  0.0035     0.0000  0.0062
      6   0.0038  0.0037     0.0000  0.0065
      7   0.0049  0.0035     0.0000  0.0067
      8   0.0053  0.0034     0.0000  0.0068
      9   0.0061  0.0030     0.0000  0.0069
     10   0.0066  0.0027     0.0000  0.0069
     11   0.0057  0.0029     0.0000  0.0066
     12   0.0063  0.0023     0.0000  0.0067
     13   0.0061  0.0025     0.0000  0.0067
     14   0.0065  0.0020     0.0001  0.0067
     15   0.0066  0.0019     0.0001  0.0067
     16   0.0066  0.0019     0.0001  0.0067
     17   0.0066  0.0019     0.0001  0.0067
     18   0.0068  0.0015     0.0002  0.0067
     19   0.0069  0.0016     0.0002  0.0067

