trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  889 500.00  0.00 800.00  8.60  0
  1  675 380.00  0.00 800.00 12.90  1
  2  606 340.00  0.00 800.00 26.00  0
  3  657 370.00  0.00 800.00 12.90  0
  4 1364 760.00  0.00 800.00 104.00  0
  5 1418 790.00  0.00 800.00 104.00  0
  6  675 380.00  0.00 800.00 12.90  0
  7  764 430.00  0.00 800.00 10.80  0
  8  747 420.00  0.00 800.00 12.90  0
  9  711 400.00  0.00 800.00 12.90  0
 10  764 430.00  0.00 800.00 10.80  0
 11  693 390.00  0.00 800.00 12.90  0
 12  693 380.00  0.00 800.00 17.20  0
 13  693 370.00  0.00 800.00 17.20  0
 14  693 390.00  0.00 800.00 10.80  0
 15  746 420.00  0.00 800.00 10.80  0
 16  924 520.00  0.00 800.00  6.44  0
 17  141  80.00  0.00 800.00 156.00  1
 18  212 120.00  0.00 800.00 104.00  0
 19  764 430.00  0.00 800.00 10.80  0
 20 1370 770.00  0.00 800.00  1.00  1
 21  800 450.00  0.00 800.00 10.80  0
 22  516 290.00  0.00 800.00 26.00  0
 23  551 310.00  0.00 800.00 21.50  0
 24  353 200.00  0.00 800.00 21.50  0
 25  765 430.00  0.00 800.00 12.90  0
 26  747 420.00  0.00 800.00 12.90  0
 27  355 200.00  0.00 800.00 52.00  0
 28  516 290.00  0.00 800.00 26.00  0
 29  800 450.00  0.00 800.00 10.80  0
 30  335 190.00  0.00 800.00 21.50  1
 31  337 190.00  0.00 800.00 52.00  0
 32  282 160.00  0.00 800.00 26.00  1
 33  230 130.00  0.00 800.00 104.00  0
 34  871 490.00  0.00 800.00  8.60  0
 35 1190 670.00  0.00 800.00  1.00  0
 36  516 290.00  0.00 800.00 26.00  1
 37  231 130.00  0.00 800.00 156.00  0
 38  765 430.00  0.00 800.00 12.90  1
 39  583 330.00  0.00 800.00  8.60  0
 40  891 500.00  0.00 800.00 12.90  0
 41  374 210.00  0.00 800.00 104.00  0
