trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1008 570.00  0.00 800.00  0.43  1
  1  790 440.00  0.00 800.00 260.00  0
  2  679 380.00  0.00 800.00 52.00  1
  3  663 370.00  0.00 800.00 156.00  0
  4  626 350.00  0.00 800.00 104.00  0
  5  769 430.00  0.00 800.00 52.00  1
  6  626 340.00  0.00 800.00 52.00  1
  7  626 350.00  0.00 800.00 156.00  0
  8  626 330.00  0.00 800.00 156.00  0
  9  626 340.00  0.00 800.00 52.00  0
 10  517 290.00  0.00 800.00 52.00  1
 11  805 450.00  0.00 800.00 52.00  0
 12  571 320.00  0.00 800.00 52.00  1
 13  805 450.00  0.00 800.00 104.00  0
 14  787 440.00  0.00 800.00 52.00  1
 15  769 430.00  0.00 800.00 52.00  1
 16  751 420.00  0.00 800.00 52.00  1
 17  734 410.00  0.00 800.00 104.00  0
 18  715 400.00  0.00 800.00 52.00  1
 19  716 400.00  0.00 800.00 104.00  0
 20  715 390.00  0.00 800.00 26.00  1
 21  715 380.00  0.00 800.00 104.00  0
 22  715 420.00  0.00 800.00 26.00  1
 23  733 410.00  0.00 800.00 52.00  1
 24  715 390.00  0.00 800.00 26.00  1
 25  715 410.00  0.00 800.00 26.00  1
 26  715 420.00  0.00 800.00 104.00  0
 27  715 420.00  0.00 800.00 104.00  0
 28  715 400.00  0.00 800.00 104.00  0
 29  715 380.00  0.00 800.00 104.00  0
 30  715 390.00  0.00 800.00 104.00  0
 31  733 410.00  0.00 800.00 52.00  1
 32  715 410.00  0.00 800.00 104.00  0
 33  715 380.00  0.00 800.00 26.00  1
 34  715 420.00  0.00 800.00 26.00  1
 35  715 390.00  0.00 800.00 104.00  0
 36  733 410.00  0.00 800.00 52.00  1
 37  715 390.00  0.00 800.00 26.00  1
 38  715 400.00  0.00 800.00 104.00  0
 39  733 410.00  0.00 800.00 52.00  1
 40  715 420.00  0.00 800.00 104.00  0
 41  715 400.00  0.00 800.00 104.00  0
