trialNum, leftMoney, leftTime, rightMoney, rightTime
5.0, 400, 0.0, 800, 4
6.0, 600, 0.0, 800, 4
7.0, 700, 0.0, 800, 4
8.0, 650, 0.0, 800, 4
9.0, 625, 0.0, 800, 4
10.0, 612, 0.0, 800, 4
11.0, 800, 52.0, 400, 0
12.0, 800, 52.0, 200, 0
13.0, 800, 52.0, 100, 0
14.0, 800, 52.0, 150, 0
15.0, 800, 52.0, 175, 0
16.0, 800, 52.0, 162, 0
17.0, 800, 520.0, 400, 0
18.0, 800, 520.0, 200, 0
19.0, 800, 520.0, 100, 0
20.0, 800, 520.0, 50, 0
21.0, 800, 520.0, 25, 0
22.0, 800, 520.0, 12, 0
23.0, 800, 156.0, 400, 0
24.0, 800, 156.0, 200, 0
25.0, 800, 156.0, 100, 0
26.0, 800, 156.0, 50, 0
27.0, 800, 156.0, 25, 0
28.0, 800, 156.0, 37, 0
29.0, 400, 0.0, 800, 1
30.0, 600, 0.0, 800, 1
31.0, 700, 0.0, 800, 1
32.0, 750, 0.0, 800, 1
33.0, 775, 0.0, 800, 1
34.0, 787, 0.0, 800, 1
35.0, 400, 0.0, 800, 26
36.0, 600, 0.0, 800, 26
37.0, 500, 0.0, 800, 26
38.0, 450, 0.0, 800, 26
39.0, 425, 0.0, 800, 26
40.0, 437, 0.0, 800, 26
41.0, 800, 2.0, 400, 0
42.0, 800, 2.0, 600, 0
43.0, 800, 2.0, 700, 0
44.0, 800, 2.0, 650, 0
45.0, 800, 2.0, 625, 0
46.0, 800, 2.0, 637, 0
