trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1037 580.00  0.00 800.00 21.50  0
  1  714 400.00  0.00 800.00 26.00  0
  2  765 430.00  0.00 800.00 12.90  0
  3  728 410.00  0.00 800.00 10.80  0
  4  746 420.00  0.00 800.00 10.80  0
  5  693 390.00  0.00 800.00 12.90  0
  6  746 420.00  0.00 800.00 12.90  0
  7  675 380.00  0.00 800.00 12.90  0
  8  444 250.00  0.00 800.00 26.00  1
  9  729 410.00  0.00 800.00 12.90  0
 10  711 400.00  0.00 800.00 12.90  0
 11  693 390.00  0.00 800.00 12.90  1
 12  839 470.00  0.00 800.00 21.50  0
 13  783 440.00  0.00 800.00 12.90  0
 14  729 410.00  0.00 800.00 12.90  0
 15  711 400.00  0.00 800.00 12.90  0
 16  782 440.00  0.00 800.00 10.80  0
 17  729 410.00  0.00 800.00 12.90  1
 18  836 470.00  0.00 800.00 10.80  1
 19 1418 790.00  0.00 800.00 104.00  1
 20 1420 790.00  0.00 800.00 260.00  1
 21 1420 770.00  0.00 800.00 520.00  0
 22  736 410.00  0.00 800.00 260.00  0
 23 1420 790.00  0.00 800.00 156.00  0
 24  718 400.00  0.00 800.00 260.00  0
 25 1420 790.00  0.00 800.00 520.00  0
 26 1420 770.00  0.00 800.00 520.00  0
 27 1420 780.00  0.00 800.00 520.00  0
 28 1420 790.00  0.00 800.00 520.00  0
 29 1420 790.00  0.00 800.00 520.00  0
 30 1420 790.00  0.00 800.00 156.00  0
 31 1420 790.00  0.00 800.00 520.00  0
 32 1420 780.00  0.00 800.00 156.00  0
 33 1420 770.00  0.00 800.00 156.00  0
 34 1421 790.00  0.00 800.00 520.00  0
 35 1421 780.00  0.00 800.00 260.00  0
 36 1421 790.00  0.00 800.00 260.00  0
 37 1421 790.00  0.00 800.00 260.00  0
 38 1421 790.00  0.00 800.00 260.00  0
 39 1421 780.00  0.00 800.00 260.00  0
 40 1421 780.00  0.00 800.00 260.00  0
 41 1421 790.00  0.00 800.00 260.00  0
