Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -6.2997  1.7778    -9.1838 -3.6533
      1  -4.8091  0.9831    -6.3597 -3.4546
      2  -4.1022  0.6657    -5.0331 -3.2815
      3  -3.6753  0.5456    -4.2954 -3.1296
      4  -3.8677  0.4225    -4.3854 -3.6864
      5  -3.7082  0.4113    -4.1115 -3.5195
      6  -3.6213  0.8688    -4.7556 -2.9200
      7  -3.4898  0.8318    -4.2799 -2.8016
      8  -3.5156  0.6681    -3.9965 -3.1519
      9  -3.5318  0.5617    -3.9548 -3.3905
     10  -3.6225  0.6075    -4.1329 -3.4173
     11  -3.5736  0.4561    -3.9551 -3.4189
     12  -3.5481  0.3464    -3.9455 -3.4201
     13  -3.5345  0.2715    -3.9397 -3.4209
     14  -3.5267  0.2228    -3.9358 -3.4216
     15  -3.5219  0.1925    -3.9330 -3.4222
     16  -3.4293  0.2069    -3.8617 -3.3747
     17  -3.5159  0.2988    -3.9372 -3.3940
     18  -3.5079  0.2462    -3.9333 -3.4083
     19  -3.5022  0.2129    -3.9299 -3.4096
     20  -3.4347  0.2061    -3.8881 -3.2955
     21  -3.4122  0.1792    -3.8354 -3.2853
     22  -3.4263  0.1448    -3.8427 -3.4100
     23  -3.3971  0.1484    -3.6835 -3.2982
     24  -3.3945  0.1292    -3.6796 -3.3140
     25  -3.3913  0.1150    -3.6754 -3.3256
     26  -3.2311  0.3023    -3.6676 -2.8346
     27  -3.0666  0.3860    -3.6372 -2.5952
     28  -3.1103  0.3333    -3.6433 -2.6767
     29  -3.1473  0.2886    -3.6483 -2.7958
     30  -3.1789  0.2525    -3.6526 -2.8877
     31  -3.2052  0.2239    -3.6562 -2.9438
     32  -3.2292  0.2018    -3.6596 -3.0167
     33  -3.2542  0.1850    -3.6632 -3.1317
     34  -3.1767  0.2023    -3.6416 -2.9560
     35  -3.1926  0.1855    -3.6452 -3.0089
     36  -3.2068  0.1735    -3.6486 -3.0785
     37  -3.2200  0.1650    -3.6518 -3.1346
     38  -3.1934  0.1564    -3.6381 -3.1162
     39  -3.1730  0.1468    -3.6216 -3.0796
     40  -3.1833  0.1415    -3.6269 -3.1337
     41  -3.1811  0.1384    -3.6243 -3.1339

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1043  0.0579     0.0083  0.1902
      1   0.1041  0.0581     0.0077  0.1902
      2   0.1045  0.0582     0.0080  0.1903
      3   0.1026  0.0587     0.0074  0.1900
      4   0.1094  0.0569     0.0109  0.1910
      5   0.1115  0.0573     0.0101  0.1916
      6   0.0453  0.0386     0.0001  0.1194
      7   0.0448  0.0387     0.0001  0.1204
      8   0.0535  0.0399     0.0008  0.1292
      9   0.0607  0.0412     0.0030  0.1380
     10   0.0496  0.0330     0.0018  0.1088
     11   0.0521  0.0324     0.0057  0.1102
     12   0.0537  0.0319     0.0085  0.1112
     13   0.0548  0.0316     0.0103  0.1120
     14   0.0557  0.0313     0.0119  0.1126
     15   0.0566  0.0311     0.0135  0.1133
     16   0.0517  0.0311     0.0092  0.1086
     17   0.0337  0.0179     0.0064  0.0638
     18   0.0344  0.0178     0.0075  0.0643
     19   0.0352  0.0177     0.0082  0.0650
     20   0.0355  0.0191     0.0075  0.0684
     21   0.0378  0.0199     0.0080  0.0721
     22   0.0399  0.0198     0.0098  0.0738
     23   0.0383  0.0194     0.0087  0.0713
     24   0.0396  0.0194     0.0096  0.0725
     25   0.0414  0.0196     0.0106  0.0743
     26   0.0187  0.0094     0.0019  0.0333
     27   0.0131  0.0062     0.0009  0.0209
     28   0.0141  0.0063     0.0012  0.0225
     29   0.0150  0.0063     0.0015  0.0236
     30   0.0158  0.0063     0.0020  0.0245
     31   0.0166  0.0063     0.0026  0.0252
     32   0.0173  0.0063     0.0035  0.0259
     33   0.0180  0.0063     0.0046  0.0265
     34   0.0158  0.0055     0.0027  0.0223
     35   0.0163  0.0054     0.0034  0.0231
     36   0.0168  0.0054     0.0044  0.0238
     37   0.0173  0.0054     0.0056  0.0244
     38   0.0175  0.0054     0.0062  0.0247
     39   0.0179  0.0055     0.0070  0.0252
     40   0.0183  0.0055     0.0072  0.0256
     41   0.0185  0.0055     0.0073  0.0257

