trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  990 560.00  0.00 800.00  0.43  1
  1  790 440.00  0.00 800.00 260.00  0
  2  679 380.00  0.00 800.00 52.00  0
  3  766 430.00  0.00 800.00 17.20  1
  4  732 410.00  0.00 800.00 26.00  0
  5  732 410.00  0.00 800.00 52.00  0
  6  785 440.00  0.00 800.00 21.50  0
  7  677 380.00  0.00 800.00 21.50  1
  8  732 410.00  0.00 800.00 26.00  0
  9  677 380.00  0.00 800.00 17.20  0
 10  568 320.00  0.00 800.00 17.20  0
 11 1420 790.00  0.00 800.00 260.00  0
 12 1421 790.00  0.00 800.00 520.00  0
 13  585 330.00  0.00 800.00 12.90  0
 14 1421 790.00  0.00 800.00 260.00  0
 15 1421 790.00  0.00 800.00 260.00  0
 16  946 530.00  0.00 800.00 17.20  0
 17  910 510.00  0.00 800.00 17.20  0
 18  874 490.00  0.00 800.00 17.20  0
 19  405 230.00  0.00 800.00 12.90  1
 20  927 520.00  0.00 800.00 12.90  0
 21  477 270.00  0.00 800.00 12.90  1
 22  837 470.00  0.00 800.00 12.90  0
 23  855 480.00  0.00 800.00 12.90  0
 24  873 490.00  0.00 800.00 12.90  0
 25  693 390.00  0.00 800.00 12.90  0
 26  873 480.00  0.00 800.00 10.80  0
 27  855 480.00  0.00 800.00 12.90  0
 28  512 290.00  0.00 800.00 10.80  1
 29  782 440.00  0.00 800.00 10.80  0
 30  854 480.00  0.00 800.00 10.80  0
 31  836 470.00  0.00 800.00 10.80  0
 32  836 460.00  0.00 800.00  8.60  1
 33  764 430.00  0.00 800.00 10.80  0
 34  836 480.00  0.00 800.00  8.60  0
 35  854 480.00  0.00 800.00 10.80  0
 36  872 490.00  0.00 800.00 10.80  0
 37  854 500.00  0.00 800.00  8.60  0
 38  872 480.00  0.00 800.00  8.60  0
 39  872 480.00  0.00 800.00  8.60  0
 40  872 490.00  0.00 800.00 12.90  0
 41  872 490.00  0.00 800.00 12.90  0
