Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -5.7605  2.0709    -9.1280 -2.6652
      1  -4.0163  1.1185    -5.7951 -2.4860
      2  -4.8287  0.7029    -5.8705 -4.0161
      3  -4.3878  0.4914    -5.0539 -3.9716
      4  -4.6723  0.3949    -5.1964 -4.4312
      5  -4.5168  0.3571    -4.9523 -4.3040
      6  -4.3511  0.6772    -5.0234 -3.7216
      7  -4.2328  0.6405    -4.7782 -3.5773
      8  -4.0470  0.9412    -5.5951 -2.9379
      9  -3.8587  1.3491    -7.4726 -2.5562
     10  -3.6744  1.0935    -5.9194 -2.5506
     11  -3.5652  0.8924    -4.6771 -2.5474
     12  -3.6908  0.7624    -4.6198 -2.7747
     13  -3.7822  0.6393    -4.5903 -3.0600
     14  -3.8432  0.5344    -4.5753 -3.2772
     15  -3.9240  0.4692    -4.6246 -3.4643
     16  -3.8674  0.4083    -4.4871 -3.4482
     17  -3.9157  0.3528    -4.4953 -3.5638
     18  -3.9761  0.3175    -4.5104 -3.7022
     19  -3.9348  0.2797    -4.4707 -3.6949
     20  -3.9846  0.2528    -4.4868 -3.7384
     21  -3.9473  0.2260    -4.4468 -3.7258
     22  -3.9759  0.2017    -4.4579 -3.7670
     23  -3.9698  0.1853    -4.4470 -3.7670
     24  -3.9482  0.1691    -4.4065 -3.7565
     25  -3.9694  0.1527    -4.4205 -3.8055
     26  -3.9510  0.1390    -4.3630 -3.7903
     27  -3.9644  0.1263    -4.3760 -3.8443
     28  -3.9757  0.1166    -4.3888 -3.9366
     29  -3.9644  0.1048    -4.3260 -3.9160
     30  -3.9550  0.0951    -4.2355 -3.8948
     31  -3.9546  0.0937    -4.2350 -3.8956
     32  -3.9624  0.0844    -4.2363 -3.9631
     33  -3.9585  0.0786    -4.2325 -3.9627
     34  -3.9630  0.0720    -4.2332 -3.9668
     35  -3.9583  0.0648    -4.2289 -3.9660
     36  -3.9620  0.0583    -4.2295 -3.9693
     37  -3.9593  0.0529    -4.2271 -3.9690
     38  -3.9592  0.0525    -4.2269 -3.9690
     39  -3.9617  0.0473    -4.2273 -3.9712
     40  -3.9596  0.0422    -4.2254 -3.9709
     41  -3.9585  0.0392    -4.2245 -3.9707

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1024  0.0584     0.0078  0.1899
      1   0.1023  0.0584     0.0078  0.1899
      2   0.1022  0.0586     0.0074  0.1899
      3   0.1039  0.0582     0.0089  0.1902
      4   0.1046  0.0581     0.0091  0.1904
      5   0.1052  0.0579     0.0095  0.1904
      6   0.0453  0.0364     0.0001  0.1147
      7   0.0459  0.0367     0.0003  0.1162
      8   0.0211  0.0173     0.0001  0.0517
      9   0.0097  0.0076     0.0000  0.0205
     10   0.0107  0.0073     0.0000  0.0210
     11   0.0113  0.0071     0.0001  0.0215
     12   0.0127  0.0076     0.0002  0.0244
     13   0.0141  0.0080     0.0005  0.0261
     14   0.0153  0.0082     0.0008  0.0272
     15   0.0164  0.0086     0.0011  0.0289
     16   0.0174  0.0087     0.0015  0.0305
     17   0.0185  0.0089     0.0019  0.0320
     18   0.0194  0.0092     0.0023  0.0331
     19   0.0205  0.0093     0.0030  0.0341
     20   0.0214  0.0096     0.0036  0.0355
     21   0.0224  0.0098     0.0046  0.0373
     22   0.0235  0.0100     0.0059  0.0388
     23   0.0240  0.0099     0.0071  0.0391
     24   0.0250  0.0100     0.0075  0.0401
     25   0.0260  0.0102     0.0080  0.0410
     26   0.0270  0.0103     0.0084  0.0424
     27   0.0280  0.0104     0.0090  0.0438
     28   0.0290  0.0105     0.0097  0.0450
     29   0.0299  0.0106     0.0105  0.0460
     30   0.0309  0.0106     0.0115  0.0469
     31   0.0310  0.0106     0.0117  0.0469
     32   0.0319  0.0106     0.0131  0.0477
     33   0.0325  0.0106     0.0140  0.0481
     34   0.0333  0.0106     0.0145  0.0489
     35   0.0341  0.0107     0.0149  0.0501
     36   0.0349  0.0107     0.0154  0.0511
     37   0.0355  0.0107     0.0159  0.0518
     38   0.0356  0.0107     0.0160  0.0518
     39   0.0363  0.0107     0.0165  0.0526
     40   0.0370  0.0107     0.0172  0.0532
     41   0.0376  0.0107     0.0178  0.0537

