trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 1265 710.00  0.00 800.00  4.30  1
  1  737 410.00  0.00 800.00 520.00  0
  2  681 380.00  0.00 800.00 156.00  0
  3  769 430.00  0.00 800.00 52.00  0
  4  661 370.00  0.00 800.00 52.00  1
  5  769 410.00  0.00 800.00 104.00  0
  6  769 450.00  0.00 800.00 104.00  0
  7  661 370.00  0.00 800.00 52.00  1
  8  769 430.00  0.00 800.00 26.00  1
  9  769 450.00  0.00 800.00 26.00  1
 10  769 440.00  0.00 800.00 104.00  0
 11  769 450.00  0.00 800.00 26.00  1
 12  769 430.00  0.00 800.00 104.00  0
 13  769 440.00  0.00 800.00 26.00  1
 14  769 430.00  0.00 800.00 104.00  0
 15  769 440.00  0.00 800.00 104.00  0
 16  769 440.00  0.00 800.00 104.00  0
 17  769 440.00  0.00 800.00 26.00  1
 18  769 430.00  0.00 800.00 26.00  1
 19  769 420.00  0.00 800.00 104.00  0
 20  769 410.00  0.00 800.00 104.00  0
 21  769 420.00  0.00 800.00 104.00  0
 22  769 440.00  0.00 800.00 104.00  0
 23  769 420.00  0.00 800.00 26.00  1
 24  769 420.00  0.00 800.00 104.00  0
 25  769 440.00  0.00 800.00 104.00  0
 26  769 440.00  0.00 800.00 104.00  0
 27  769 420.00  0.00 800.00 26.00  1
 28  769 420.00  0.00 800.00 26.00  1
 29  769 430.00  0.00 800.00 104.00  0
 30  769 410.00  0.00 800.00 26.00  1
 31  769 410.00  0.00 800.00 26.00  1
 32  769 450.00  0.00 800.00 26.00  1
 33  769 440.00  0.00 800.00 104.00  0
 34  769 440.00  0.00 800.00 26.00  1
 35  769 420.00  0.00 800.00 26.00  0
 36  679 380.00  0.00 800.00 52.00  1
 37  787 440.00  0.00 800.00 52.00  0
 38  805 450.00  0.00 800.00 52.00  0
 39  643 360.00  0.00 800.00 52.00  1
 40  805 460.00  0.00 800.00 26.00  1
 41  805 440.00  0.00 800.00 26.00  0
