trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  748 420.00  0.00 800.00 17.20  0
  1  658 370.00  0.00 800.00 17.20  0
  2  675 380.00  0.00 800.00 12.90  0
  3  746 420.00  0.00 800.00 10.80  0
  4  693 390.00  0.00 800.00 12.90  0
  5  746 420.00  0.00 800.00 12.90  0
  6  675 380.00  0.00 800.00 12.90  0
  7  675 370.00  0.00 800.00 10.80  0
  8  693 390.00  0.00 800.00 12.90  0
  9  586 330.00  0.00 800.00 17.20  0
 10  283 160.00  0.00 800.00 52.00  0
 11  444 250.00  0.00 800.00 26.00  0
 12  728 410.00  0.00 800.00 10.80  0
 13  728 400.00  0.00 800.00  8.60  0
 14  764 430.00  0.00 800.00 10.80  0
 15  586 330.00  0.00 800.00 17.20  0
 16   89  50.00  0.00 800.00 520.00  0
 17  515 290.00  0.00 800.00 21.50  0
 18  336 190.00  0.00 800.00 26.00  0
 19  212 120.00  0.00 800.00 104.00  0
 20  764 430.00  0.00 800.00 10.80  0
 21  942 530.00  0.00 800.00  6.44  0
 22 1067 600.00  0.00 800.00  4.30  0
 23  157  90.00  0.00 800.00 52.00  0
 24  177 100.00  0.00 800.00 156.00  0
 25  551 310.00  0.00 800.00 21.50  0
 26  711 400.00  0.00 800.00 12.90  0
 27 1278 720.00  0.00 800.00  0.43  0
 28  337 190.00  0.00 800.00 52.00  0
 29 1190 670.00  0.00 800.00  1.00  0
 30  231 130.00  0.00 800.00 156.00  0
 31  534 300.00  0.00 800.00 26.00  0
 32  818 460.00  0.00 800.00 10.80  0
 33  889 500.00  0.00 800.00  8.60  0
 34  495 280.00  0.00 800.00 12.90  0
 35  284 160.00  0.00 800.00 104.00  0
 36  765 430.00  0.00 800.00 12.90  0
 37  605 340.00  0.00 800.00 21.50  0
 38 1224 690.00  0.00 800.00  0.43  0
 39  320 180.00  0.00 800.00 104.00  0
 40  623 350.00  0.00 800.00 21.50  0
 41  228 130.00  0.00 800.00 26.00  0
