trialNum, leftMoney, leftTime, rightMoney, rightTime
5.0, 400, 0.0, 800, 1
6.0, 600, 0.0, 800, 1
7.0, 500, 0.0, 800, 1
8.0, 550, 0.0, 800, 1
9.0, 575, 0.0, 800, 1
10.0, 587, 0.0, 800, 1
11.0, 800, 520.0, 400, 0
12.0, 800, 520.0, 200, 0
13.0, 800, 520.0, 100, 0
14.0, 800, 520.0, 50, 0
15.0, 800, 520.0, 25, 0
16.0, 800, 520.0, 37, 0
17.0, 400, 0.0, 800, 2
18.0, 200, 0.0, 800, 2
19.0, 300, 0.0, 800, 2
20.0, 250, 0.0, 800, 2
21.0, 275, 0.0, 800, 2
22.0, 287, 0.0, 800, 2
23.0, 800, 156.0, 400, 0
24.0, 800, 156.0, 200, 0
25.0, 800, 156.0, 100, 0
26.0, 800, 156.0, 150, 0
27.0, 800, 156.0, 175, 0
28.0, 800, 156.0, 162, 0
29.0, 400, 0.0, 800, 26
30.0, 200, 0.0, 800, 26
31.0, 100, 0.0, 800, 26
32.0, 150, 0.0, 800, 26
33.0, 125, 0.0, 800, 26
34.0, 112, 0.0, 800, 26
35.0, 400, 0.0, 800, 52
36.0, 200, 0.0, 800, 52
37.0, 100, 0.0, 800, 52
38.0, 150, 0.0, 800, 52
39.0, 175, 0.0, 800, 52
40.0, 162, 0.0, 800, 52
41.0, 400, 0.0, 800, 4
42.0, 200, 0.0, 800, 4
43.0, 100, 0.0, 800, 4
44.0, 150, 0.0, 800, 4
45.0, 175, 0.0, 800, 4
46.0, 187, 0.0, 800, 4
