Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -2.2903  1.5602    -4.5085 -0.2422
      1  -1.2050  1.0797    -2.3733 -0.1320
      2  -0.6783  0.9222    -1.4480 -0.0779
      3  -0.3947  0.8345    -0.9134 -0.0499
      4  -0.2145  0.9790    -0.6652 -0.0259
      5  -0.1183  0.7532    -0.3887 -0.0242
      6  -1.0493  2.2665    -7.2764 -0.0292
      7  -0.6164  1.7740    -5.5767 -0.0272
      8  -0.3557  1.3309    -2.3481 -0.0261
      9  -1.4468  2.4617    -7.7747 -0.0421
     10  -0.9327  1.9947    -6.5822 -0.0378
     11  -0.6011  1.5375    -4.2903 -0.0355
     12  -0.4078  1.1522    -1.3943 -0.0343
     13  -0.3022  0.8560    -1.0202 -0.0337
     14  -0.2270  0.6727    -0.8085 -0.0320
     15  -0.1759  0.5292    -0.7278 -0.0306
     16  -0.1332  0.4802    -0.6071 -0.0282
     17  -0.1053  0.3748    -0.5274 -0.0274
     18  -0.0856  0.2939    -0.5075 -0.0268
     19  -0.1489  0.4362    -0.6386 -0.0303
     20  -0.1272  0.3444    -0.5703 -0.0296
     21  -0.1116  0.2760    -0.5294 -0.0290
     22  -0.0998  0.2257    -0.5188 -0.0285
     23  -0.1501  0.3341    -0.6380 -0.0320
     24  -0.1510  0.2814    -0.6444 -0.0327
     25  -0.1503  0.2402    -0.6454 -0.0331
     26  -0.1405  0.2089    -0.6093 -0.0325
     27  -0.1465  0.1952    -0.6211 -0.0333
     28  -0.1376  0.1786    -0.5787 -0.0327
     29  -0.1817  0.2099    -0.6909 -0.0379
     30  -0.1903  0.2005    -0.6990 -0.0396
     31  -0.1997  0.1949    -0.7067 -0.0417
     32  -0.2097  0.1913    -0.7140 -0.0441
     33  -0.2215  0.1889    -0.7217 -0.0474
     34  -0.2339  0.1868    -0.7290 -0.0514
     35  -0.2486  0.1847    -0.7369 -0.0573
     36  -0.2676  0.1820    -0.7463 -0.0671
     37  -0.2874  0.1786    -0.7548 -0.0815
     38  -0.2657  0.1690    -0.7323 -0.0729
     39  -0.3169  0.1767    -0.7666 -0.1090
     40  -0.3378  0.1725    -0.7726 -0.1458
     41  -0.3547  0.1684    -0.7767 -0.1954

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0987  0.0601     0.0028  0.1895
      1   0.1000  0.0596     0.0036  0.1896
      2   0.1010  0.0591     0.0051  0.1898
      3   0.1034  0.0584     0.0076  0.1901
      4   0.1004  0.0592     0.0042  0.1896
      5   0.1112  0.0561     0.0129  0.1912
      6   0.0271  0.0266     0.0000  0.0753
      7   0.0305  0.0263     0.0000  0.0781
      8   0.0326  0.0259     0.0001  0.0796
      9   0.0088  0.0083     0.0000  0.0208
     10   0.0103  0.0081     0.0000  0.0223
     11   0.0113  0.0078     0.0001  0.0231
     12   0.0118  0.0075     0.0001  0.0235
     13   0.0122  0.0074     0.0004  0.0237
     14   0.0131  0.0076     0.0006  0.0250
     15   0.0140  0.0078     0.0008  0.0260
     16   0.0149  0.0083     0.0009  0.0273
     17   0.0158  0.0084     0.0012  0.0283
     18   0.0167  0.0086     0.0015  0.0297
     19   0.0127  0.0062     0.0008  0.0206
     20   0.0133  0.0063     0.0010  0.0215
     21   0.0139  0.0063     0.0011  0.0225
     22   0.0145  0.0064     0.0013  0.0233
     23   0.0116  0.0051     0.0008  0.0186
     24   0.0121  0.0052     0.0009  0.0190
     25   0.0123  0.0052     0.0010  0.0192
     26   0.0128  0.0052     0.0011  0.0195
     27   0.0132  0.0053     0.0012  0.0198
     28   0.0137  0.0053     0.0014  0.0200
     29   0.0123  0.0049     0.0010  0.0188
     30   0.0128  0.0050     0.0011  0.0191
     31   0.0132  0.0050     0.0013  0.0194
     32   0.0136  0.0050     0.0015  0.0197
     33   0.0141  0.0050     0.0017  0.0200
     34   0.0145  0.0050     0.0020  0.0202
     35   0.0150  0.0050     0.0024  0.0205
     36   0.0155  0.0051     0.0028  0.0207
     37   0.0159  0.0052     0.0033  0.0217
     38   0.0163  0.0052     0.0040  0.0226
     39   0.0156  0.0051     0.0030  0.0207
     40   0.0161  0.0051     0.0036  0.0219
     41   0.0165  0.0052     0.0043  0.0229

