trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0  209 120.00  0.00 800.00 21.50  1
  1  664 370.00  0.00 800.00 260.00  0
  2  732 410.00  0.00 800.00 26.00  0
  3  745 420.00  0.00 800.00  8.60  0
  4  654 370.00  0.00 800.00  6.44  1
  5  744 420.00  0.00 800.00  6.44  1
  6  674 380.00  0.00 800.00 10.80  1
  7  729 410.00  0.00 800.00 12.90  0
  8  656 370.00  0.00 800.00 10.80  1
  9  729 390.00  0.00 800.00 17.20  1
 10 1421 790.00  0.00 800.00 520.00  0
 11  821 460.00  0.00 800.00 21.50  0
 12  802 450.00  0.00 800.00 17.20  0
 13  748 420.00  0.00 800.00 17.20  0
 14  711 400.00  0.00 800.00 12.90  0
 15  655 370.00  0.00 800.00  8.60  1
 16  729 410.00  0.00 800.00 12.90  0
 17  747 420.00  0.00 800.00 12.90  0
 18  673 380.00  0.00 800.00  8.60  1
 19  747 400.00  0.00 800.00 10.80  1
 20  729 410.00  0.00 800.00 12.90  0
 21  747 420.00  0.00 800.00 10.80  0
 22  818 460.00  0.00 800.00 10.80  0
 23  673 380.00  0.00 800.00  8.60  1
 24  818 470.00  0.00 800.00  8.60  0
 25  673 400.00  0.00 800.00  6.44  1
 26  673 360.00  0.00 800.00  6.44  1
 27  602 340.00  0.00 800.00 10.80  1
 28  747 420.00  0.00 800.00 12.90  0
 29  747 440.00  0.00 800.00 17.20  0
 30  691 390.00  0.00 800.00  8.60  1
 31  691 380.00  0.00 800.00 10.80  1
 32  747 420.00  0.00 800.00 12.90  0
 33  800 450.00  0.00 800.00 10.80  0
 34  800 460.00  0.00 800.00  8.60  0
 35  620 350.00  0.00 800.00 10.80  1
 36  800 450.00  0.00 800.00 12.90  0
 37  620 340.00  0.00 800.00 12.90  1
 38  620 370.00  0.00 800.00  8.60  1
 39  729 410.00  0.00 800.00 12.90  0
 40  336 190.00  0.00 800.00 26.00  1
 41  336 170.00  0.00 800.00 52.00  1
